,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,value of product
490,st george,9555,2014.0,kia,soul + automatic,excellent,4 cylinders,gas,100245.0,clean,automatic,fwd,SUV,green,3
491,st george,24495,2016.0,mercedes-benz,e-class,excellent,6 cylinders,gas,25113.0,clean,automatic,rwd,sedan,silver,2
492,st george,3000,2006.0,subaru,baja turbo,good,4 cylinders,gas,99185.07784431137,clean,automatic,4wd,offroad,black,1
493,st george,4200,2014.0,dodge,grand caravan,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
494,st george,28000,2013.0,toyota,fj cruiser,excellent,6 cylinders,gas,44000.0,clean,automatic,4wd,SUV,black,1
495,st george,17395,2012.0,ram,1500 quad cab,excellent,8 cylinders,gas,85741.0,clean,automatic,4wd,pickup,black,1
496,st george,13000,2012.0,honda,accord crosstour ex-l,excellent,4 cylinders,gas,65000.0,clean,automatic,fwd,SUV,silver,3
497,st george,7000,2008.0,bmw,328i,like new,6 cylinders,gas,123500.0,clean,automatic,rwd,sedan,custom,1
498,st george,2500,2005.0,ford,mustang coupe,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
499,st george,5600,2014.0,ford,Coleman HS700,excellent,6 cylinders,gas,99185.07784431137,clean,manual,4wd,SUV,white,2
500,st george,17995,2018.0,ford,Chrylser 300,excellent,6 cylinders,gas,23308.0,clean,automatic,rwd,SUV,grey,1
501,st george,15995,2012.0,chevrolet,tahoe,excellent,6 cylinders,gas,108454.0,clean,automatic,4wd,SUV,white,2
502,st george,25995,2013.0,toyota,tundra,excellent,6 cylinders,gas,81728.0,clean,automatic,4wd,truck,white,2
503,st george,25500,2017.0,honda,cr-v,excellent,6 cylinders,gas,24316.0,clean,automatic,4wd,SUV,white,2
504,st george,35500,2019.0,gmc,canyon,excellent,6 cylinders,gas,8500.0,clean,automatic,4wd,truck,white,2
505,st george,10500,2012.0,gmc,terrain,excellent,6 cylinders,gas,95103.0,clean,automatic,4wd,SUV,white,2
506,st george,15750,2017.0,buick,encore,excellent,6 cylinders,gas,11761.0,clean,automatic,fwd,SUV,white,3
507,st george,11975,2015.0,jeep,cherokee,excellent,4 cylinders,gas,91975.0,clean,automatic,4wd,SUV,white,2
508,st george,26900,2016.0,ram,1500,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,pickup,blue,1
509,st george,23900,2015.0,lincoln,navigator,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black,1
510,st george,31900,2016.0,mercedes-benz,gle,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
511,st george,12900,2010.0,lincoln,navigator,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
512,st george,11900,2010.0,ford,expedition,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black,1
513,st george,11900,2011.0,bmw,3-series,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,rwd,convertible,white,2
514,st george,25900,2013.0,cadillac,escalade esv,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black,1
515,st george,9890,2014.0,mazda,3,excellent,4 cylinders,gas,18500.0,clean,automatic,fwd,hatchback,red,3
516,st george,16795,2016.0,honda,cr-v,excellent,4 cylinders,gas,51954.0,clean,automatic,4wd,SUV,custom,1
517,st george,3883,2000.0,toyota,corolla le 4dr sedan,excellent,4 cylinders,gas,61558.0,clean,automatic,fwd,sedan,silver,3
518,st george,12495,2007.0,chevrolet,silverado (classic) 1500 crew cab,excellent,8 cylinders,other,146706.0,clean,automatic,4wd,pickup,white,2
519,vermont,28995,2016.0,chevrolet,silverado,excellent,6 cylinders,gas,75099.0,clean,automatic,4wd,pickup,white,2
520,st george,4795,2005.0,honda,odyssey,excellent,6 cylinders,gas,220287.0,clean,automatic,fwd,other,custom,3
521,st george,11777,2004.0,ford,f-350 xlt 4x4 diesel,excellent,8 cylinders,diesel,129373.0,clean,automatic,4wd,pickup,red,2
522,st george,6800,2003.0,chevrolet,tahoe z71,excellent,6 cylinders,gas,147000.0,clean,automatic,4wd,SUV,white,2
523,st george,4499,2007.0,ford,edge,excellent,6 cylinders,gas,178000.0,clean,automatic,4wd,SUV,red,2
524,st george,5500,2008.0,honda,accord ex-l,excellent,4 cylinders,gas,157540.0,clean,automatic,fwd,sedan,black,3
525,st george,22995,2015.0,toyota,tacoma,excellent,6 cylinders,gas,99185.07784431137,rebuilt,automatic,4wd,SUV,white,2
526,st george,17500,2001.0,ford,f450,excellent,8 cylinders,diesel,36000.0,clean,manual,4wd,SUV,white,2
527,st george,4975,2005.0,chevrolet,trailblazer,excellent,6 cylinders,gas,133748.0,clean,automatic,4wd,SUV,white,2
528,st george,4500,2007.0,jeep,grand cherokee,good,6 cylinders,gas,140000.0,clean,automatic,rwd,SUV,grey,1
529,st george,18995,2015.0,ford,transit connect xlt,excellent,6 cylinders,gas,27411.0,clean,automatic,fwd,van,white,3
530,st george,24995,2011.0,ford,f350 super duty,excellent,6 cylinders,gas,90606.0,clean,automatic,rwd,SUV,white,2
531,vermont,7500,2007.0,chevrolet,silverado 1500 ls,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
532,vermont,3300,2009.0,nissan,sentra,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
533,vermont,3995,2011.0,nissan,sentra,excellent,6 cylinders,gas,99185.07784431137,rebuilt,automatic,4wd,SUV,white,2
534,st george,26995,2013.0,ford,f250 super duty,excellent,6 cylinders,gas,81766.0,clean,automatic,rwd,truck,white,2
535,st george,27995,2013.0,ford,f250 super duty,excellent,6 cylinders,gas,72483.0,clean,automatic,rwd,truck,white,2
536,st george,35995,2016.0,ford,econoline e350 super duty cutaway van,excellent,6 cylinders,gas,46445.0,clean,automatic,rwd,convertible,white,2
537,st george,32995,2014.0,chevrolet,silverado 3500,excellent,6 cylinders,gas,76305.0,clean,automatic,4wd,truck,white,2
538,vermont,14700,2016.0,subaru,legacy 2.5i limited,excellent,4 cylinders,gas,69897.0,clean,automatic,4wd,sedan,black,1
539,vermont,2000,2008.0,volvo,xc90 3.2 awd,good,6 cylinders,gas,161000.0,clean,automatic,4wd,SUV,silver,2
540,vermont,3500,2005.0,chevrolet,tahoe,good,8 cylinders,gas,147000.0,clean,automatic,4wd,SUV,red,2
541,vermont,21444,2013.0,chevrolet,tahoe,excellent,6 cylinders,other,113566.0,clean,automatic,4wd,other,black,1
542,vermont,34555,2013.0,gmc,sierra,excellent,6 cylinders,diesel,126346.0,clean,automatic,4wd,pickup,black,1
543,vermont,5000,2010.0,honda,accord,good,4 cylinders,gas,67500.0,clean,automatic,fwd,sedan,white,3
544,vermont,29888,2013.0,ram,2500,excellent,6 cylinders,diesel,108098.0,clean,automatic,4wd,pickup,silver,2
545,vermont,19998,2014.0,ram,1500,excellent,6 cylinders,gas,48371.0,clean,automatic,4wd,pickup,blue,1
546,vermont,33888,2017.0,ram,3500,excellent,6 cylinders,diesel,116915.0,clean,automatic,4wd,pickup,silver,2
547,vermont,28888,2012.0,ford,f-350,excellent,6 cylinders,diesel,126528.0,clean,automatic,4wd,pickup,white,2
548,vermont,29555,2012.0,gmc,sierra,excellent,6 cylinders,diesel,91052.0,clean,automatic,4wd,pickup,red,2
549,vermont,28888,2011.0,ram,f-150,excellent,6 cylinders,diesel,93140.0,clean,automatic,4wd,pickup,silver,2
550,vermont,24555,2014.0,jeep,wrangler,excellent,6 cylinders,gas,98981.0,clean,automatic,4wd,SUV,white,2
551,vermont,28777,2011.0,ford,f-350,excellent,6 cylinders,diesel,89044.0,clean,automatic,4wd,pickup,silver,2
552,vermont,5995,2008.0,dodge,grand caravan,good,6 cylinders,gas,120000.0,clean,automatic,fwd,van,blue,3
553,vermont,5495,2012.0,nissan,rogue sv,excellent,6 cylinders,gas,120000.0,clean,automatic,4wd,SUV,red,2
554,vermont,2495,2005.0,hyundai,sonata,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
555,vermont,4500,2013.0,ford,c-max hybrid,like new,4 cylinders,gas,135000.0,clean,automatic,fwd,hatchback,grey,3
556,vermont,7500,2011.0,subaru,outback 2.5i premium,excellent,4 cylinders,gas,130010.0,clean,automatic,4wd,SUV,silver,2
557,vermont,3500,2003.0,chevrolet,silverado,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
558,vermont,3600,2008.0,hyundai,elantra,excellent,4 cylinders,gas,126000.0,clean,automatic,fwd,sedan,brown,3
559,vermont,9995,2008.0,gmc,sierra 1500,like new,8 cylinders,gas,109000.0,clean,automatic,4wd,SUV,silver,2
560,vermont,3595,2004.0,ford,ranger edge 4x4 supercab,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,truck,red,2
561,vermont,4500,2012.0,chevrolet,cruze,excellent,4 cylinders,gas,116000.0,clean,automatic,fwd,sedan,red,3
562,vermont,2575,2006.0,subaru,impreza 2.5i,like new,4 cylinders,gas,99185.07784431137,clean,automatic,4wd,sedan,silver,2
563,vermont,6850,2010.0,honda,cr-v,excellent,4 cylinders,gas,125000.0,clean,automatic,4wd,SUV,blue,1
564,vermont,5300,2008.0,honda,civic,good,4 cylinders,gas,87000.0,rebuilt,automatic,fwd,SUV,white,3
565,vermont,10500,2014.0,bmw,335i xdrive,excellent,6 cylinders,gas,142000.0,clean,automatic,4wd,SUV,white,2
566,vermont,2600,2008.0,subaru,forester,good,4 cylinders,gas,137000.0,clean,automatic,4wd,SUV,red,2
567,vermont,9499,2012.0,toyota,highlander,good,6 cylinders,gas,152000.0,clean,automatic,4wd,SUV,blue,1
568,vermont,3995,2008.0,ford,suzuki sx4,excellent,6 cylinders,gas,117000.0,clean,automatic,4wd,SUV,white,2
569,vermont,33995,2018.0,chevrolet,traverse,excellent,6 cylinders,gas,21384.0,clean,automatic,4wd,SUV,white,2
570,vermont,9000,2015.0,ford,starcraft,excellent,8 cylinders,gas,97047.0,clean,automatic,rwd,SUV,white,2
571,vermont,4200,2007.0,ford,ranger,good,6 cylinders,gas,119000.0,clean,automatic,rwd,truck,grey,1
572,vermont,9985,2010.0,ford,f-150,excellent,10 cylinders,gas,200491.0,clean,automatic,rwd,SUV,white,2
573,vermont,9985,2010.0,ford,f-150,excellent,10 cylinders,gas,200491.0,clean,automatic,rwd,SUV,white,2
574,vermont,4895,2007.0,ford,ranger sport,excellent,6 cylinders,gas,99185.07784431137,clean,manual,4wd,truck,white,2
575,vermont,1695,2005.0,subaru,impreza sport wagon,excellent,4 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
576,vermont,15995,2016.0,toyota,camry,excellent,4 cylinders,gas,50928.0,clean,automatic,fwd,sedan,grey,3
577,vermont,6995,2013.0,toyota,camry se,good,4 cylinders,gas,107000.0,clean,automatic,fwd,sedan,blue,3
578,vermont,6995,2009.0,subaru,outback,excellent,4 cylinders,gas,123913.0,clean,automatic,4wd,SUV,white,2
579,vermont,7100,2005.0,toyota,hylander limted,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
580,vermont,6000,2004.0,ford,f350 super duty,good,8 cylinders,diesel,105000.0,clean,automatic,4wd,truck,blue,1
581,vermont,3999,2009.0,subaru,forester x,good,4 cylinders,gas,139000.0,clean,manual,4wd,SUV,red,2
582,vermont,17999,2013.0,ford,f150 4x4,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
583,vermont,11999,2005.0,lexus,sc430 convertible,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
584,vermont,31990,2011.0,ford,f-550,excellent,6 cylinders,diesel,94526.0,clean,automatic,4wd,other,white,2
585,vermont,9990,1998.0,ford,Freightliner FL70,good,6 cylinders,diesel,154100.0,clean,automatic,rwd,truck,white,2
586,vermont,6999,2009.0,ford,corolla le,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
587,vermont,11996,2014.0,subaru,impreza wagon,good,4 cylinders,gas,88717.0,clean,automatic,4wd,wagon,black,1
588,vermont,4996,2004.0,volvo,v70,good,5 cylinders,gas,110305.0,clean,automatic,4wd,wagon,blue,1
589,vermont,6596,2012.0,mazda,mazda3,good,4 cylinders,gas,96078.0,clean,automatic,fwd,hatchback,black,3
590,vermont,6596,2011.0,nissan,maxima,good,6 cylinders,gas,91832.0,rebuilt,automatic,fwd,sedan,black,3
591,vermont,9396,2013.0,chevrolet,equinox,good,4 cylinders,gas,119635.0,clean,automatic,4wd,wagon,custom,1
592,vermont,4996,2006.0,subaru,legacy wagon,good,6 cylinders,gas,157015.0,clean,other,4wd,wagon,blue,1
593,vermont,5996,2007.0,honda,accord sdn,good,6 cylinders,gas,74196.0,clean,automatic,fwd,sedan,silver,3
594,vermont,6596,2011.0,subaru,outback,good,4 cylinders,gas,129636.0,clean,automatic,4wd,wagon,silver,2
595,vermont,11996,2012.0,buick,enclave,good,6 cylinders,gas,91896.0,clean,automatic,4wd,wagon,black,1
596,vermont,9596,2015.0,kia,optima,good,6 cylinders,gas,97129.0,clean,other,4wd,sedan,custom,1
597,vermont,8596,2014.0,dodge,grand caravan,good,6 cylinders,gas,90439.0,clean,other,fwd,van,white,3
598,vermont,6996,2011.0,nissan,rogue,good,4 cylinders,gas,124565.0,clean,automatic,4wd,wagon,black,1
599,vermont,8996,2009.0,honda,cr-v,good,6 cylinders,gas,116671.0,clean,other,4wd,wagon,grey,1
600,vermont,5996,2008.0,toyota,rav4,good,6 cylinders,gas,147351.0,clean,automatic,4wd,SUV,silver,2
601,vermont,10995,2012.0,gmc,acadia,excellent,6 cylinders,gas,118144.0,clean,other,4wd,SUV,silver,2
602,vermont,18995,2013.0,ram,2500,excellent,6 cylinders,gas,127145.0,clean,other,4wd,pickup,white,2
603,vermont,15995,2012.0,ford,explorer,excellent,6 cylinders,gas,101782.0,clean,other,4wd,SUV,black,1
604,vermont,10995,2006.0,ford,ranger,excellent,6 cylinders,gas,57514.0,clean,other,4wd,pickup,red,2
605,vermont,22988,2016.0,ram,1500,excellent,6 cylinders,gas,34166.0,clean,other,4wd,pickup,red,2
606,vermont,25995,2016.0,honda,pilot,excellent,6 cylinders,gas,35603.0,clean,other,4wd,truck,blue,1
607,vermont,19988,2017.0,subaru,forester,excellent,6 cylinders,gas,39535.0,clean,other,4wd,wagon,silver,2
608,vermont,20995,2016.0,subaru,wrx,excellent,6 cylinders,gas,56347.0,clean,other,4wd,sedan,black,1
609,vermont,5995,2005.0,toyota,prius,excellent,6 cylinders,gas,80689.0,clean,other,fwd,hatchback,blue,3
610,vermont,26988,2011.0,ford,super duty f-350 srw,excellent,6 cylinders,gas,139247.0,clean,other,4wd,pickup,black,1
611,vermont,11988,2016.0,nissan,nv cargo,excellent,6 cylinders,gas,111975.0,clean,other,fwd,van,silver,3
612,vermont,18995,2018.0,ford,escape,excellent,6 cylinders,gas,26688.0,clean,other,4wd,SUV,grey,1
613,vermont,13995,2008.0,jeep,wrangler,excellent,6 cylinders,gas,120244.0,clean,other,4wd,SUV,green,1
614,vermont,15988,2013.0,bmw,x1,excellent,6 cylinders,gas,69992.0,clean,other,4wd,SUV,white,2
615,vermont,15995,2011.0,ford,f-150,excellent,6 cylinders,gas,106658.0,clean,other,4wd,truck,grey,1
616,vermont,14500,2011.0,toyota,tacoma,excellent,6 cylinders,gas,146000.0,clean,automatic,4wd,SUV,white,2
617,vermont,5995,2005.0,toyota,sequoia limited,excellent,6 cylinders,gas,138000.0,clean,automatic,4wd,SUV,white,2
618,vermont,5995,2010.0,honda,odyssey limited,excellent,6 cylinders,gas,128000.0,clean,automatic,4wd,SUV,white,2
619,vermont,6875,2008.0,subaru,outback,excellent,6 cylinders,gas,77000.0,clean,manual,4wd,SUV,white,2
620,vermont,13995,2014.0,gmc,acadia,excellent,6 cylinders,gas,100616.0,clean,other,4wd,SUV,black,1
621,vermont,5995,2008.0,dodge,dakota,excellent,6 cylinders,gas,133000.0,clean,manual,4wd,SUV,white,2
622,vermont,13990,2010.0,ford,f-250 sd,good,8 cylinders,gas,115295.0,clean,automatic,rwd,SUV,white,2
623,vermont,17995,2015.0,jeep,grand cherokee,excellent,6 cylinders,gas,72879.0,clean,other,4wd,SUV,silver,2
624,vermont,6995,2013.0,subaru,impreza,excellent,6 cylinders,gas,121000.0,clean,automatic,4wd,SUV,white,2
625,vermont,7995,2011.0,chrysler,town & country touring,excellent,6 cylinders,gas,66000.0,clean,automatic,4wd,SUV,white,2
626,vermont,10975,2010.0,ram,hemi,excellent,6 cylinders,gas,111000.0,clean,automatic,4wd,SUV,white,2
627,vermont,4995,2011.0,subaru,forester premium,excellent,6 cylinders,gas,149000.0,clean,automatic,4wd,SUV,white,2
628,vermont,8500,2009.0,toyota,tacoma,good,4 cylinders,gas,170000.0,clean,manual,4wd,SUV,white,2
629,vermont,8555,2008.0,jeep,grand cherokee,excellent,6 cylinders,gas,126028.0,clean,other,4wd,SUV,silver,2
630,vermont,24995,2016.0,ford,f250,excellent,6 cylinders,gas,70403.0,clean,other,4wd,truck,white,2
631,vermont,17995,2016.0,ram,1500,excellent,6 cylinders,gas,104498.0,clean,other,4wd,pickup,white,2
632,vermont,6955,2009.0,gmc,acadia,excellent,6 cylinders,gas,141573.0,clean,other,4wd,SUV,blue,1
633,vermont,24995,2015.0,jeep,wrangler unlimited,excellent,6 cylinders,gas,87934.0,clean,other,4wd,SUV,black,1
634,vermont,25995,2014.0,ford,super duty f-350 srw,excellent,6 cylinders,gas,118539.0,clean,other,4wd,pickup,grey,1
635,vermont,19995,2011.0,toyota,tacoma,excellent,6 cylinders,gas,38183.0,clean,other,4wd,pickup,silver,2
636,vermont,5995,2008.0,ford,taurus x,excellent,6 cylinders,gas,140531.0,clean,other,4wd,wagon,white,2
637,vermont,4995,2009.0,toyota,corolla le,excellent,6 cylinders,gas,124000.0,clean,automatic,4wd,SUV,white,2
638,vermont,14490,2012.0,ford,econoline,good,8 cylinders,gas,80836.0,clean,automatic,rwd,truck,white,2
639,vermont,25995,2015.0,ford,super duty f-250 srw,excellent,6 cylinders,gas,91682.0,clean,other,4wd,truck,white,2
640,vermont,11995,2009.0,toyota,tundra 4wd truck,excellent,6 cylinders,gas,184287.0,clean,other,4wd,truck,white,2
641,vermont,32995,2015.0,gmc,sierra 2500hd,excellent,6 cylinders,gas,104818.0,clean,other,4wd,truck,white,2
642,vermont,18995,2016.0,volvo,xc60,excellent,6 cylinders,gas,87912.0,clean,other,4wd,SUV,white,2
643,vermont,12977,2013.0,ford,edge,excellent,6 cylinders,gas,90158.0,clean,other,4wd,SUV,silver,2
644,vermont,9900,2013.0,ford,escape,excellent,6 cylinders,gas,79698.0,clean,other,fwd,SUV,white,3
645,vermont,4000,2003.0,ram,2500 4x4,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
646,vermont,10988,2013.0,ford,escape,excellent,6 cylinders,gas,89969.0,clean,other,4wd,SUV,silver,2
647,vermont,26995,2018.0,honda,cr-v,excellent,6 cylinders,gas,46444.0,clean,automatic,4wd,SUV,white,2
648,vermont,17995,2011.0,toyota,tundra 4wd truck,excellent,6 cylinders,gas,100759.0,clean,other,4wd,truck,white,2
649,vermont,14995,2008.0,jeep,wrangler,excellent,6 cylinders,gas,100879.0,clean,other,4wd,SUV,green,1
650,vermont,10995,2008.0,jeep,grand cherokee,excellent,6 cylinders,gas,67424.0,clean,other,4wd,SUV,black,1
651,vermont,25955,2017.0,ford,explorer,excellent,6 cylinders,gas,31660.0,clean,other,4wd,SUV,white,2
652,vermont,6900,2004.0,lexus,sc430,good,8 cylinders,gas,16000.0,rebuilt,automatic,rwd,convertible,black,1
653,vermont,5995,2012.0,jeep,liberty,excellent,6 cylinders,gas,125000.0,clean,automatic,4wd,SUV,white,2
654,vermont,4875,2010.0,ford,suzuki kizashi awd,excellent,6 cylinders,gas,91000.0,clean,automatic,4wd,SUV,white,2
655,vermont,6995,2009.0,subaru,forester,excellent,6 cylinders,gas,74000.0,clean,automatic,4wd,SUV,white,2
656,vermont,28990,2005.0,gmc,c7c042,good,6 cylinders,diesel,71635.0,clean,automatic,rwd,truck,white,2
657,vermont,8500,2009.0,audi,a3,good,6 cylinders,gas,153500.0,clean,other,4wd,hatchback,grey,1
658,vermont,2800,2003.0,ram,2500 slt 4wd,fair,8 cylinders,gas,101000.0,clean,automatic,4wd,pickup,blue,1
659,vermont,19990,2007.0,chevrolet,silverado 2500hd class,excellent,6 cylinders,diesel,210541.0,clean,automatic,4wd,truck,white,2
660,vermont,29450,2017.0,mercedes-benz,glc300 4matic,excellent,6 cylinders,gas,41302.0,clean,automatic,4wd,SUV,white,2
661,vermont,3500,2005.0,subaru,forester,good,4 cylinders,gas,83000.0,clean,automatic,4wd,SUV,silver,2
662,vermont,3995,2009.0,kia,rondo,excellent,6 cylinders,gas,93000.0,clean,automatic,4wd,SUV,white,2
663,vermont,7995,2012.0,toyota,prius,excellent,6 cylinders,gas,101000.0,clean,automatic,4wd,SUV,white,2
664,vermont,4995,2013.0,fiat,500 pop,excellent,6 cylinders,gas,81000.0,clean,automatic,4wd,SUV,white,2
665,vermont,3995,2011.0,kia,forte limited,excellent,6 cylinders,gas,112000.0,clean,automatic,4wd,SUV,white,2
666,vermont,36990,2014.0,ram,3500,excellent,6 cylinders,gas,21800.0,clean,automatic,4wd,other,white,2
667,vermont,15995,2012.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,150217.0,clean,automatic,4wd,SUV,white,2
668,vermont,4995,2006.0,toyota,tundra double cab sr5,good,8 cylinders,gas,199780.0,clean,automatic,4wd,truck,white,2
669,vermont,8995,2013.0,ford,explorer,good,6 cylinders,gas,140000.0,clean,automatic,fwd,SUV,black,3
670,vermont,2500,2004.0,toyota,corolla le,good,4 cylinders,gas,222000.0,clean,automatic,fwd,SUV,white,3
671,vermont,3500,2008.0,toyota,matrix xr,excellent,4 cylinders,gas,155000.0,clean,manual,fwd,hatchback,grey,3
672,vermont,8500,2008.0,bmw,335xi,excellent,6 cylinders,gas,124227.0,clean,manual,4wd,sedan,custom,1
673,vermont,24285,2016.0,mercedes-benz,c300 4matic,excellent,6 cylinders,gas,30905.0,clean,automatic,4wd,SUV,white,2
674,vermont,1695,2000.0,mercury,grand marquis,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,rwd,SUV,white,2
675,vermont,13500,2013.0,toyota,rav4 le,excellent,4 cylinders,gas,78000.0,clean,automatic,4wd,SUV,blue,1
676,vermont,25450,2015.0,toyota,tacoma sr5,excellent,6 cylinders,gas,53000.0,clean,automatic,4wd,truck,grey,1
677,vermont,29490,2015.0,ford,f-350 sd,good,8 cylinders,diesel,112150.0,clean,automatic,4wd,truck,white,2
678,vermont,11499,2017.0,subaru,legacy premium 2.5i awd,excellent,4 cylinders,gas,123000.0,clean,automatic,4wd,sedan,grey,1
679,vermont,8999,2010.0,subaru,outback 2.5i limited,excellent,4 cylinders,gas,102000.0,clean,automatic,4wd,wagon,grey,1
680,vermont,6499,2008.0,volvo,v70 3.2,excellent,6 cylinders,gas,140000.0,clean,automatic,fwd,wagon,grey,3
681,vermont,5999,2007.0,hyundai,santa fe limited 2wd,excellent,6 cylinders,gas,98000.0,clean,automatic,fwd,SUV,blue,3
682,vermont,10999,2014.0,subaru,outback 2.5i premium awd,excellent,4 cylinders,gas,121000.0,clean,automatic,4wd,wagon,red,2
683,vermont,15499,2015.0,honda,pilot ex 4wd,excellent,6 cylinders,gas,134000.0,clean,automatic,4wd,SUV,white,2
684,vermont,9999,2010.0,ram,1500 quad cab,excellent,8 cylinders,gas,170000.0,clean,automatic,4wd,truck,blue,1
685,vermont,5499,2006.0,honda,civic lx coupe 2d,excellent,4 cylinders,gas,75000.0,clean,automatic,fwd,coupe,silver,3
686,vermont,7999,2010.0,subaru,outback 2.5i premium,excellent,4 cylinders,gas,99000.0,clean,manual,4wd,wagon,grey,1
687,vermont,10799,2016.0,nissan,altima,excellent,4 cylinders,gas,74000.0,clean,automatic,fwd,sedan,white,3
688,vermont,12499,2014.0,nissan,pathfinder sl awd,excellent,6 cylinders,gas,109000.0,clean,automatic,4wd,SUV,grey,1
689,vermont,6499,2011.0,subaru,impreza 2.5i premium,excellent,4 cylinders,gas,112000.0,clean,automatic,4wd,sedan,white,2
690,vermont,8999,2014.0,subaru,impreza wagon,excellent,4 cylinders,gas,124000.0,clean,manual,4wd,wagon,green,1
691,vermont,9499,2015.0,volkswagen,tiguan 2.0t s 4motion,excellent,4 cylinders,gas,102000.0,clean,automatic,4wd,SUV,grey,1
692,vermont,9999,2012.0,honda,crv lx awd,excellent,4 cylinders,gas,131000.0,clean,automatic,4wd,SUV,silver,2
693,vermont,11999,2015.0,subaru,outback limited,like new,4 cylinders,gas,93720.0,rebuilt,automatic,4wd,wagon,grey,1
694,vermont,8999,2014.0,mitsubishi,outlander gt,excellent,6 cylinders,gas,73000.0,rebuilt,automatic,4wd,SUV,white,2
695,vermont,4999,2008.0,nissan,altima hybrid,excellent,4 cylinders,hybrid,140000.0,clean,automatic,fwd,sedan,green,3
696,vermont,7899,2013.0,volkswagen,new beetle turbo,excellent,4 cylinders,gas,127000.0,clean,manual,fwd,coupe,grey,3
697,vermont,13999,2012.0,audi,a6 3.0t quattro,excellent,6 cylinders,gas,99000.0,clean,automatic,4wd,sedan,brown,1
698,vermont,10499,2015.0,subaru,legacy 2.5i,excellent,4 cylinders,gas,100000.0,clean,automatic,4wd,sedan,blue,1
699,vermont,5999,2009.0,toyota,corolla le 4dr sedan,excellent,4 cylinders,gas,129000.0,clean,automatic,fwd,sedan,silver,3
700,vermont,10499,2015.0,subaru,legacy 2.5i,excellent,4 cylinders,gas,106000.0,clean,automatic,4wd,sedan,grey,1
701,vermont,5899,2013.0,kia,rio lx,excellent,4 cylinders,gas,93000.0,clean,manual,fwd,hatchback,red,3
702,vermont,9999,2011.0,honda,odyssey ex,excellent,6 cylinders,gas,143000.0,clean,automatic,fwd,van,blue,3
703,vermont,18990,2013.0,ford,f-350 sd,good,8 cylinders,gas,105894.0,clean,automatic,rwd,SUV,white,2
704,vermont,6999,2008.0,volvo,xc70 3.2 awd,excellent,6 cylinders,gas,135000.0,clean,automatic,4wd,wagon,grey,1
705,vermont,5000,2007.0,ford,f150 xl,good,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,truck,red,2
706,vermont,4500,2000.0,jeep,wrangler sahara,excellent,4 cylinders,gas,179000.0,clean,manual,4wd,SUV,black,1
707,vermont,9995,2007.0,toyota,tacoma,excellent,4 cylinders,gas,108535.0,clean,manual,4wd,pickup,blue,1
708,vermont,2800,2008.0,chevrolet,impala,good,6 cylinders,gas,154081.0,clean,automatic,fwd,sedan,white,3
709,vermont,9500,2011.0,ram,1500 slt,excellent,8 cylinders,gas,165000.0,clean,automatic,4wd,truck,white,2
710,vermont,15995,2008.0,cadillac,escalade esv awd,excellent,8 cylinders,gas,117000.0,clean,automatic,4wd,SUV,blue,1
711,vermont,19995,2015.0,ford,f150 4x4,excellent,6 cylinders,gas,97000.0,clean,automatic,4wd,pickup,black,1
712,vermont,11995,2011.0,ford,f250,excellent,8 cylinders,gas,114775.0,clean,automatic,4wd,SUV,white,2
713,vermont,11995,2011.0,honda,odyssey touring,excellent,6 cylinders,gas,121000.0,clean,automatic,fwd,mini-van,black,3
714,vermont,3999,2007.0,bmw,328xi,good,6 cylinders,gas,179590.0,clean,automatic,4wd,SUV,black,1
715,vermont,8000,2003.0,ford,Kenworth,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white,2
