region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
salt lake city,34900,2015.0,toyota,tundra,excellent,8 cylinders,gas,42649.0,clean,automatic,4wd,truck,white
salt lake city,21475,2018.0,honda,civic,excellent,4 cylinders,gas,10683.0,clean,automatic,fwd,sedan,white
salt lake city,14476,2017.0,ford,edge,excellent,4 cylinders,gas,81130.0,clean,automatic,4wd,SUV,white
st george,23295,2013.0,lexus,gs,excellent,6 cylinders,gas,63842.0,clean,automatic,rwd,sedan,silver
salt lake city,28248,2014.0,ford,mustang,excellent,6 cylinders,gas,8543.0,clean,manual,rwd,SUV,black
salt lake city,23800,2010.0,ford,wheelchair van,excellent,6 cylinders,gas,37700.0,clean,automatic,4wd,SUV,white
salt lake city,28000,2004.0,ford,f550 mechanics service,good,10 cylinders,gas,67348.0,clean,automatic,4wd,truck,white
salt lake city,15995,2014.0,ram,1500,excellent,8 cylinders,gas,103252.0,clean,automatic,rwd,pickup,silver
salt lake city,10550,2014.0,honda,odyssey ex,excellent,6 cylinders,gas,79035.0,rebuilt,automatic,fwd,van,black
salt lake city,18999,2015.0,mercedes-benz,cla-class,excellent,4 cylinders,gas,37000.0,clean,automatic,fwd,sedan,white
salt lake city,18999,2013.0,bmw,3 series,excellent,6 cylinders,gas,65000.0,clean,automatic,rwd,coupe,black
salt lake city,2500,2004.0,ford,mustang,good,6 cylinders,gas,129000.0,clean,manual,rwd,coupe,blue
salt lake city,22995,2013.0,ford,f-150,excellent,8 cylinders,gas,63425.0,clean,automatic,rwd,pickup,red
salt lake city,28895,2016.0,ram,1500,excellent,8 cylinders,gas,19086.0,clean,automatic,4wd,truck,red
salt lake city,29999,2012.0,mercedes-benz,cls-class,excellent,8 cylinders,gas,83000.0,clean,automatic,rwd,sedan,black
st george,14795,2008.0,lexus,gx,excellent,8 cylinders,gas,164666.0,clean,automatic,4wd,SUV,white
salt lake city,36995,2014.0,ford,f-150,excellent,8 cylinders,gas,93452.0,clean,automatic,4wd,pickup,black
salt lake city,8950,2014.0,chrysler,300,excellent,6 cylinders,gas,58677.0,rebuilt,automatic,rwd,sedan,grey
salt lake city,16500,2006.0,toyota,tacoma xrunner,excellent,6 cylinders,gas,99185.07784431137,clean,manual,rwd,SUV,red
salt lake city,36995,2015.0,gmc,sierra 2500hd,excellent,8 cylinders,gas,67425.0,clean,automatic,4wd,pickup,white
salt lake city,14900,2010.0,toyota,4runner,excellent,6 cylinders,gas,78728.0,clean,automatic,rwd,SUV,white
salt lake city,34876,2011.0,cadillac,cts-v,excellent,8 cylinders,gas,48289.0,clean,automatic,rwd,coupe,white
salt lake city,12495,2019.0,nissan,altima,excellent,4 cylinders,gas,11092.0,clean,automatic,fwd,sedan,black
salt lake city,32975,2016.0,jeep,wrangler,excellent,6 cylinders,gas,28282.0,clean,manual,4wd,SUV,white
salt lake city,6495,2018.0,ford,focus,excellent,4 cylinders,gas,24469.0,clean,automatic,fwd,sedan,white
salt lake city,31221,2016.0,mercedes-benz,e-class,excellent,6 cylinders,gas,14222.0,clean,automatic,4wd,sedan,white
salt lake city,19499,2008.0,jeep,wrangler,excellent,6 cylinders,gas,60004.0,clean,manual,4wd,SUV,white
salt lake city,13976,2011.0,toyota,tacoma,excellent,4 cylinders,gas,93157.0,clean,manual,rwd,truck,white
salt lake city,8499,2005.0,volkswagen,beetle,excellent,4 cylinders,gas,43524.0,clean,automatic,fwd,hatchback,white
salt lake city,21999,2004.0,mercedes-benz,sl-class,excellent,8 cylinders,gas,55000.0,clean,automatic,rwd,convertible,black
salt lake city,7495,2017.0,nissan,sentra,excellent,4 cylinders,gas,70109.0,clean,automatic,fwd,sedan,white
salt lake city,26950,2019.0,nissan,armada,excellent,8 cylinders,gas,8871.0,clean,automatic,4wd,SUV,black
salt lake city,6995,2010.0,chevrolet,traverse,excellent,6 cylinders,gas,115266.0,clean,automatic,4wd,SUV,black
salt lake city,7995,2014.0,toyota,corolla,excellent,4 cylinders,gas,69260.0,clean,automatic,fwd,sedan,silver
salt lake city,5495,2015.0,nissan,frontier,excellent,4 cylinders,gas,75506.0,clean,automatic,rwd,pickup,white
salt lake city,8995,2019.0,nissan,sentra,excellent,4 cylinders,gas,19558.0,clean,automatic,fwd,sedan,blue
salt lake city,3250,2017.0,ford,focus,excellent,4 cylinders,gas,31336.0,clean,automatic,fwd,sedan,grey
salt lake city,16476,2004.0,chevrolet,corvette,excellent,8 cylinders,gas,46153.0,clean,automatic,rwd,convertible,white
salt lake city,14800,2019.0,chevrolet,equinox,excellent,4 cylinders,gas,10868.0,clean,automatic,4wd,SUV,black
salt lake city,5995,2018.0,kia,forte,excellent,4 cylinders,gas,34238.0,clean,automatic,fwd,sedan,brown
salt lake city,6995,2017.0,nissan,sentra,excellent,4 cylinders,gas,46578.0,clean,automatic,fwd,sedan,red
salt lake city,7995,2019.0,jeep,compass,excellent,4 cylinders,gas,19548.0,clean,automatic,4wd,SUV,black
salt lake city,7995,2019.0,dodge,grand caravan,excellent,6 cylinders,gas,24008.0,clean,automatic,fwd,van,grey
salt lake city,7200,2004.0,lexus,es 330,excellent,6 cylinders,gas,150523.0,clean,automatic,fwd,SUV,silver
st george,12000,2015.0,volkswagen,jetta,like new,4 cylinders,gas,65000.0,clean,automatic,fwd,sedan,white
salt lake city,24999,2018.0,ford,transit cargo 250,excellent,6 cylinders,gas,9389.0,clean,automatic,rwd,van,white
salt lake city,4000,2011.0,nissan,altima 2.5 s,excellent,4 cylinders,gas,110000.0,clean,automatic,fwd,sedan,blue
salt lake city,16999,2013.0,subaru,brz,excellent,4 cylinders,gas,32000.0,clean,automatic,rwd,coupe,grey
salt lake city,22999,2017.0,subaru,wrx,excellent,4 cylinders,gas,39000.0,clean,manual,4wd,sedan,white
salt lake city,29999,2012.0,rover,sport,excellent,8 cylinders,gas,61000.0,clean,automatic,4wd,SUV,black
salt lake city,21999,2014.0,bmw,7 series,excellent,6 cylinders,gas,76000.0,clean,automatic,rwd,sedan,white
salt lake city,31999,2018.0,alfa-romeo,romeo stelvio,excellent,4 cylinders,gas,22000.0,clean,automatic,4wd,SUV,white
salt lake city,24999,2016.0,bmw,4 series,excellent,6 cylinders,gas,56000.0,clean,automatic,rwd,sedan,white
salt lake city,16999,2016.0,chevrolet,colorado,excellent,6 cylinders,gas,59000.0,clean,automatic,4wd,SUV,grey
salt lake city,21999,2015.0,bmw,3 series,excellent,4 cylinders,gas,56000.0,clean,automatic,4wd,sedan,blue
salt lake city,14999,2005.0,bmw,645ci convertible,excellent,8 cylinders,gas,43000.0,clean,automatic,rwd,convertible,white
salt lake city,25999,2014.0,bmw,x6,excellent,6 cylinders,gas,49000.0,clean,automatic,4wd,SUV,white
salt lake city,28999,2017.0,ford,mustang,excellent,8 cylinders,gas,5000.0,clean,manual,rwd,coupe,white
salt lake city,28950,2019.0,ford,f-250 super duty xl,excellent,8 cylinders,gas,2890.0,rebuilt,automatic,4wd,truck,white
salt lake city,22995,2016.0,ram,1500,excellent,8 cylinders,gas,54252.0,clean,automatic,rwd,pickup,black
salt lake city,10550,2011.0,nissan,titan sv 4x4,excellent,8 cylinders,gas,66328.0,rebuilt,automatic,4wd,truck,grey
salt lake city,30995,2019.0,ford,edge,excellent,4 cylinders,gas,14649.0,clean,automatic,4wd,SUV,silver
salt lake city,34995,2016.0,ford,olet Silverado 1500,excellent,6 cylinders,gas,16161.0,clean,automatic,4wd,pickup,grey
salt lake city,12000,2005.0,ram,2500,excellent,6 cylinders,gas,159626.0,lien,automatic,4wd,SUV,white
salt lake city,14995,2010.0,ford,gt,good,8 cylinders,gas,28656.0,clean,manual,rwd,coupe,blue
salt lake city,10995,2011.0,gmc,acadia,good,6 cylinders,gas,135529.0,clean,automatic,4wd,SUV,custom
salt lake city,16975,2013.0,honda,cr-v,excellent,4 cylinders,gas,81226.0,clean,automatic,4wd,SUV,white
salt lake city,13999,2007.0,mercedes-benz,slk,excellent,6 cylinders,gas,48130.0,clean,automatic,rwd,convertible,white
st george,21500,2015.0,gmc,sierra 1500,excellent,8 cylinders,gas,126520.0,clean,automatic,fwd,SUV,white
st george,3700,2005.0,mazda,3 hatchback,excellent,4 cylinders,gas,99185.07784431137,clean,automatic,fwd,hatchback,silver
st george,34495,2012.0,chevrolet,silverado 3500 hd crew cab,excellent,8 cylinders,diesel,108437.0,clean,automatic,4wd,pickup,black
st george,17500,2018.0,toyota,c-hr,like new,4 cylinders,gas,33565.0,clean,automatic,fwd,SUV,red
st george,20495,2016.0,chevrolet,express 3500 passenger,excellent,8 cylinders,other,33293.0,clean,automatic,rwd,other,white
st george,22795,2015.0,mercedes-benz,sprinter 2500 passenger,excellent,6 cylinders,diesel,216694.0,clean,automatic,rwd,other,black
st george,6795,2010.0,chrysler,town & country,excellent,6 cylinders,gas,123352.0,clean,automatic,fwd,other,custom
st george,3150,2003.0,chevrolet,trailblazer,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black
st george,5500,2006.0,chevrolet,silverado,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,white
st george,8845,2010.0,chevrolet,malibu,excellent,6 cylinders,gas,61700.0,clean,automatic,fwd,sedan,silver
st george,8490,2015.0,mitsubishi,mirage,excellent,6 cylinders,gas,51712.0,clean,automatic,fwd,hatchback,purple
st george,6445,2012.0,chevrolet,sonic,excellent,6 cylinders,gas,99587.0,clean,automatic,fwd,sedan,white
st george,7435,2004.0,ram,1500,excellent,6 cylinders,gas,201312.0,clean,automatic,rwd,pickup,silver
st george,5000,2003.0,toyota,tundra,good,6 cylinders,gas,209000.0,clean,automatic,rwd,truck,white
st george,10499,2008.0,saturn,sky red line,good,4 cylinders,gas,89869.0,clean,manual,rwd,convertible,black
st george,23795,2009.0,chevrolet,silverado 2500 hd extended cab,excellent,8 cylinders,diesel,134031.0,clean,automatic,4wd,pickup,custom
st george,9995,2008.0,gmc,w4500 hd dsl reg,excellent,4 cylinders,diesel,200000.0,clean,automatic,rwd,pickup,white
st george,26795,2015.0,chevrolet,silverado 2500 hd crew cab,excellent,8 cylinders,other,100616.0,clean,automatic,4wd,pickup,silver
st george,29000,2014.0,ford,f-150,excellent,8 cylinders,gas,32000.0,clean,automatic,4wd,pickup,black
st george,7999,2006.0,ford,econoline e350,excellent,8 cylinders,gas,196000.0,clean,automatic,fwd,truck,white
st george,27701,2017.0,mercedes-benz,glc300,excellent,6 cylinders,gas,39106.0,clean,automatic,4wd,SUV,white
st george,21000,2013.0,toyota,4runner,excellent,6 cylinders,gas,119000.0,clean,automatic,4wd,SUV,white
st george,6500,1999.0,nissan,frontier,excellent,4 cylinders,gas,75400.0,clean,automatic,4wd,pickup,silver
st george,19000,2010.0,toyota,tundra,excellent,8 cylinders,gas,99185.07784431137,lien,automatic,4wd,truck,black
st george,4500,2004.0,volkswagen,new beetle,like new,4 cylinders,gas,74000.0,clean,automatic,fwd,hatchback,yellow
st george,13500,2004.0,jeep,wrangler unlimited,excellent,6 cylinders,gas,133287.0,clean,automatic,4wd,SUV,custom
st george,1600,2004.0,ford,f-150,excellent,6 cylinders,gas,98000.0,clean,automatic,4wd,SUV,white
st george,8995,2013.0,nissan,murano platinum,excellent,6 cylinders,gas,130423.0,clean,automatic,fwd,SUV,black
st george,2400,2002.0,chevrolet,tahoe ls,good,8 cylinders,gas,194956.0,clean,automatic,rwd,SUV,black
st george,7295,2007.0,hyundai,veracruz,excellent,6 cylinders,gas,77580.0,clean,automatic,4wd,SUV,black
st george,3495,2006.0,pontiac,g6 gtp,excellent,6 cylinders,gas,162033.0,clean,automatic,fwd,convertible,grey
st george,3500,2009.0,toyota,camry,excellent,4 cylinders,gas,191538.0,clean,automatic,fwd,sedan,black
st george,8400,2008.0,chevrolet,tahoe z71,excellent,8 cylinders,other,176353.0,rebuilt,automatic,rwd,SUV,white
st george,3600,2006.0,mitsubishi,lancer,excellent,4 cylinders,gas,133000.0,clean,automatic,fwd,sedan,white
st george,4200,2006.0,honda,odyssey ex-l w/ dvd,good,6 cylinders,gas,129046.0,rebuilt,automatic,fwd,wagon,silver
st george,18795,2015.0,toyota,avalon,excellent,6 cylinders,gas,30680.0,clean,automatic,fwd,sedan,custom
st george,17595,2010.0,ford,f150 supercrew cab,excellent,8 cylinders,other,135536.0,clean,automatic,4wd,pickup,black
st george,3200,2000.0,toyota,f-150,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black
st george,4200,2007.0,ford,focus,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black
st george,3200,2008.0,mazda,6,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,silver
st george,22500,2016.0,ford,edge titanium awd,like new,4 cylinders,gas,46850.0,clean,automatic,4wd,SUV,grey
st george,8300,2013.0,ford,escape se fwd,excellent,4 cylinders,gas,116500.0,clean,automatic,fwd,sedan,blue
st george,1700,1999.0,toyota,corolla,good,4 cylinders,gas,135000.0,clean,automatic,fwd,sedan,silver
st george,19495,2014.0,chevrolet,camaro,excellent,8 cylinders,gas,78954.0,clean,automatic,rwd,other,white
st george,22995,2018.0,nissan,frontier,like new,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,truck,red
st george,12495,2015.0,volkswagen,golf,excellent,4 cylinders,diesel,75915.0,clean,automatic,fwd,other,white
st george,36900,2013.0,ford,f250 lariat 4x4,excellent,8 cylinders,diesel,66800.0,clean,automatic,4wd,pickup,white
st george,21500,2008.0,gmc,sierra 2500 hd,excellent,8 cylinders,diesel,224878.0,clean,automatic,4wd,truck,black
st george,16900,2017.0,toyota,rav4,like new,4 cylinders,gas,51300.0,clean,automatic,fwd,SUV,white
st george,27400,2017.0,mercedes-benz,gla250 4matic,excellent,6 cylinders,gas,12340.0,clean,automatic,4wd,SUV,white
st george,12000,2012.0,ford,f-150,excellent,8 cylinders,gas,151000.0,clean,automatic,4wd,truck,silver
st george,1800,2004.0,nissan,xterra,good,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,silver
st george,10795,2014.0,volkswagen,passat,excellent,4 cylinders,diesel,79187.0,clean,automatic,fwd,sedan,silver
st george,16695,2008.0,toyota,fj cruiser,excellent,6 cylinders,gas,163658.0,clean,automatic,4wd,SUV,yellow
st george,9000,2007.0,chevrolet,tahoe,good,8 cylinders,gas,165000.0,clean,automatic,rwd,SUV,custom
st george,11000,2001.0,jaguar,xk8,excellent,6 cylinders,gas,78000.0,clean,automatic,rwd,convertible,white
st george,9999,2012.0,volkswagen,golf,excellent,4 cylinders,diesel,69502.0,clean,manual,fwd,other,blue
st george,6495,2008.0,jeep,liberty,excellent,6 cylinders,gas,130535.0,clean,automatic,4wd,SUV,black
st george,9995,2013.0,volkswagen,passat,excellent,4 cylinders,diesel,85111.0,clean,automatic,fwd,sedan,custom
st george,12795,2012.0,volkswagen,touareg,excellent,6 cylinders,diesel,140776.0,clean,automatic,4wd,SUV,custom
st george,9795,2014.0,volkswagen,beetle,excellent,4 cylinders,diesel,106696.0,clean,automatic,fwd,other,blue
st george,11495,2013.0,fiat,500,excellent,4 cylinders,gas,26473.0,clean,manual,fwd,other,custom
st george,17495,2012.0,ram,1500 quad cab,excellent,8 cylinders,gas,82882.0,clean,automatic,4wd,pickup,black
st george,22495,2016.0,bmw,x1,excellent,4 cylinders,gas,54489.0,clean,automatic,4wd,SUV,white
st george,9995,2012.0,kia,optima,excellent,4 cylinders,gas,101172.0,clean,automatic,fwd,sedan,silver
st george,4250,2004.0,ford,expedition,excellent,8 cylinders,gas,203972.0,clean,automatic,4wd,SUV,silver
st george,16995,2015.0,volvo,xc60,excellent,4 cylinders,gas,69699.0,clean,automatic,fwd,SUV,custom
st george,7995,2004.0,jeep,wrangler,excellent,6 cylinders,gas,132920.0,clean,manual,4wd,SUV,red
st george,29795,2016.0,toyota,4runner,excellent,6 cylinders,gas,57645.0,clean,automatic,4wd,SUV,red
st george,22795,2015.0,toyota,highlander,excellent,6 cylinders,gas,54322.0,clean,automatic,4wd,SUV,blue
st george,20495,2018.0,honda,civic,excellent,4 cylinders,gas,17082.0,clean,automatic,fwd,other,grey
st george,27795,2015.0,mercedes-benz,gl-class,excellent,6 cylinders,gas,63380.0,clean,automatic,4wd,SUV,white
st george,6495,2013.0,hyundai,accent,excellent,4 cylinders,gas,111060.0,clean,automatic,fwd,sedan,blue
st george,12795,2014.0,ford,fusion,excellent,4 cylinders,gas,66747.0,clean,automatic,fwd,sedan,white
st george,10795,2012.0,audi,a6,excellent,4 cylinders,gas,96293.0,clean,automatic,fwd,sedan,silver
st george,36495,2015.0,gmc,yukon,excellent,8 cylinders,gas,88244.0,clean,automatic,4wd,SUV,custom
st george,24595,2008.0,ram,3500 mega cab,excellent,6 cylinders,diesel,139400.0,clean,automatic,4wd,pickup,white
st george,15495,2015.0,ford,fiesta,excellent,4 cylinders,gas,27730.0,clean,manual,fwd,other,red
st george,17495,2015.0,honda,odyssey,excellent,6 cylinders,gas,62751.0,clean,automatic,fwd,other,silver
st george,14495,2012.0,jeep,grand cherokee,excellent,6 cylinders,other,103117.0,clean,automatic,4wd,SUV,custom
st george,18795,2014.0,gmc,acadia,excellent,6 cylinders,gas,85961.0,clean,automatic,4wd,SUV,white
st george,9995,2012.0,jeep,liberty,excellent,6 cylinders,gas,106169.0,clean,automatic,4wd,SUV,silver
st george,8995,2012.0,toyota,prius v,excellent,4 cylinders,hybrid,166594.0,clean,automatic,fwd,wagon,silver
st george,12145,2017.0,nissan,sentra,excellent,4 cylinders,gas,30853.0,clean,automatic,fwd,sedan,silver
st george,7995,2009.0,subaru,outback,excellent,4 cylinders,gas,134561.0,clean,automatic,4wd,wagon,white
st george,36455,2019.0,toyota,4runner,excellent,6 cylinders,gas,13624.0,clean,automatic,4wd,SUV,custom
st george,32475,2015.0,toyota,tundra crewmax,excellent,8 cylinders,other,61774.0,clean,automatic,4wd,pickup,red
st george,36795,2019.0,toyota,highlander,excellent,6 cylinders,gas,12621.0,clean,automatic,4wd,SUV,silver
st george,10595,2016.0,hyundai,elantra,excellent,4 cylinders,gas,59645.0,clean,automatic,fwd,sedan,white
st george,10295,2013.0,toyota,camry,excellent,4 cylinders,hybrid,154852.0,clean,automatic,fwd,sedan,white
st george,23995,2015.0,jeep,wrangler,excellent,6 cylinders,gas,64438.0,clean,automatic,4wd,SUV,silver
st george,13795,2017.0,nissan,altima,excellent,4 cylinders,gas,64377.0,clean,automatic,fwd,sedan,silver
st george,20945,2017.0,nissan,maxima,excellent,6 cylinders,gas,31034.0,clean,automatic,fwd,sedan,silver
st george,22795,2016.0,lexus,is,excellent,4 cylinders,gas,27737.0,clean,automatic,rwd,sedan,silver
st george,12000,2016.0,ford,nissian altima,like new,4 cylinders,gas,87000.0,clean,automatic,fwd,other,black
st george,2895,2003.0,chrysler,concord l,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,fwd,SUV,silver
st george,7900,2005.0,lexus,rx 330,excellent,6 cylinders,gas,130940.0,clean,automatic,fwd,SUV,white
st george,8600,2008.0,lexus,is 250,excellent,6 cylinders,gas,131000.0,clean,automatic,rwd,sedan,white
st george,5900,2006.0,ram,1500 crew cab,excellent,8 cylinders,gas,148000.0,clean,automatic,rwd,truck,white
st george,8000,2013.0,chevrolet,sonic ltz,like new,4 cylinders,gas,89000.0,clean,automatic,fwd,sedan,grey
st george,5200,2004.0,dodge,durango 4x4,excellent,8 cylinders,gas,127465.0,clean,automatic,4wd,SUV,black
st george,9600,2006.0,ram,2500,excellent,8 cylinders,gas,97205.0,clean,automatic,rwd,truck,white
st george,14255,2014.0,mini,cooper convertible,excellent,4 cylinders,gas,34265.0,clean,automatic,fwd,convertible,white
st george,14995,2015.0,toyota,prius,like new,4 cylinders,hybrid,43125.0,clean,automatic,fwd,sedan,white
st george,24800,2011.0,ram,2500 diesel,excellent,6 cylinders,gas,150505.0,clean,automatic,4wd,truck,white
st george,14255,2008.0,ram,2500 slt,excellent,8 cylinders,gas,77235.0,clean,automatic,rwd,truck,white
st george,31000,2016.0,ford,mustang gt premium,excellent,8 cylinders,gas,34000.0,clean,automatic,rwd,coupe,red
st george,21900,2018.0,honda,civic,excellent,4 cylinders,gas,99185.07784431137,clean,manual,fwd,coupe,white
st george,5995,2013.0,nissan,pathfinder sv,excellent,6 cylinders,gas,99185.07784431137,clean,automatic,4wd,SUV,black
st george,3999,2007.0,ford,taurus sel,excellent,6 cylinders,gas,98430.0,clean,automatic,fwd,sedan,silver
st george,22500,2014.0,jeep,wrangler unlimited,excellent,6 cylinders,gas,65000.0,clean,manual,4wd,other,grey
st george,5000,2001.0,chevrolet,silverado 2500hd,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,pickup,grey
st george,15350,2017.0,nissan,altima,like new,4 cylinders,gas,40000.0,clean,automatic,fwd,sedan,grey
st george,8300,2011.0,ford,mustang,excellent,6 cylinders,gas,109050.0,clean,automatic,rwd,coupe,red
st george,23900,2013.0,bmw,x6,excellent,8 cylinders,gas,99185.07784431137,clean,manual,4wd,SUV,grey
st george,2000,1998.0,gmc,suburban 1500,fair,8 cylinders,gas,214048.0,clean,automatic,4wd,SUV,white
st george,18995,2008.0,ford,f250 super duty crew cab,excellent,8 cylinders,diesel,170909.0,clean,automatic,4wd,pickup,white
st george,18495,2007.0,chevrolet,silverado 2500 hd crew cab,excellent,8 cylinders,diesel,148411.0,clean,automatic,4wd,pickup,brown
st george,10295,2015.0,chrysler,200,excellent,4 cylinders,gas,65731.0,clean,automatic,fwd,sedan,white
st george,18995,2017.0,acura,ilx,excellent,4 cylinders,gas,39238.0,clean,automatic,fwd,sedan,white
st george,25795,2011.0,gmc,sierra 2500 hd crew cab,excellent,8 cylinders,diesel,190330.0,clean,automatic,4wd,pickup,white
st george,24495,2016.0,honda,pilot,excellent,6 cylinders,gas,75186.0,clean,automatic,4wd,SUV,blue
st george,10795,2008.0,subaru,impreza,excellent,4 cylinders,gas,119433.0,clean,manual,4wd,wagon,white
st george,18795,2016.0,dodge,challenger,excellent,6 cylinders,gas,47639.0,clean,automatic,rwd,other,black
st george,15000,2008.0,ford,super duty f-350 drw,good,8 cylinders,diesel,140500.0,clean,automatic,rwd,truck,white
st george,26795,2016.0,bmw,x5,excellent,6 cylinders,gas,83459.0,clean,automatic,4wd,SUV,custom
st george,22795,2018.0,dodge,charger,excellent,6 cylinders,gas,38446.0,clean,automatic,rwd,sedan,grey
st george,17495,2015.0,cadillac,ats,excellent,4 cylinders,gas,48201.0,clean,automatic,rwd,sedan,white
st george,5000,2010.0,honda,covic,excellent,4 cylinders,gas,173000.0,clean,automatic,fwd,SUV,grey
st george,3000,2005.0,volvo,v70,good,5 cylinders,gas,99185.07784431137,clean,automatic,fwd,SUV,blue
st george,4895,2010.0,volkswagen,jetta,excellent,5 cylinders,gas,127863.0,clean,automatic,fwd,sedan,white
st george,8495,1997.0,bmw,z3,excellent,4 cylinders,gas,79420.0,clean,manual,rwd,convertible,black
st george,9795,2009.0,bmw,1 series,excellent,6 cylinders,gas,71843.0,clean,automatic,rwd,other,white
st george,21795,2016.0,bmw,3 series,excellent,4 cylinders,gas,41859.0,clean,automatic,rwd,sedan,white
st george,20795,2016.0,acura,tlx,excellent,6 cylinders,gas,42866.0,clean,automatic,fwd,sedan,grey
st george,11700,2014.0,mazda,cx-5 touring,excellent,6 cylinders,gas,37665.0,clean,automatic,4wd,SUV,white
st george,7750,2005.0,gmc,yukon xl 1500,excellent,8 cylinders,gas,200960.0,clean,automatic,4wd,SUV,white
st george,9500,1997.0,jeep,wrangler,excellent,4 cylinders,gas,34500.0,clean,manual,4wd,SUV,white
st george,9995,2012.0,honda,civic,like new,4 cylinders,other,8257.0,clean,automatic,fwd,sedan,white
st george,4895,2005.0,ford,freestar,good,6 cylinders,gas,66011.0,clean,automatic,fwd,van,red
st george,12495,2007.0,chevrolet,silverado (classic) 1500 crew cab,excellent,8 cylinders,other,146706.0,clean,automatic,4wd,pickup,white
st george,6995,2009.0,chevrolet,colorado,good,5 cylinders,gas,53577.0,clean,automatic,rwd,truck,white
st george,3300,2002.0,ford,expedition,excellent,8 cylinders,gas,191400.0,clean,automatic,4wd,SUV,silver
st george,6250,2005.0,volvo,xc90,excellent,5 cylinders,gas,127365.0,clean,automatic,4wd,SUV,black
st george,36900,2012.0,ford,f-150,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,4wd,pickup,white
st george,14900,2012.0,chevrolet,g3500,excellent,8 cylinders,gas,99185.07784431137,clean,automatic,rwd,other,white
st george,3700,1999.0,audi,a6,excellent,6 cylinders,gas,131850.0,clean,automatic,4wd,hatchback,red
