,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
58,salt lake city,68500,2019.0,cadillac,escalade luxury,like new,8 cylinders,gas,8800.0,clean,manual,4wd,,
59,salt lake city,22995,2013.0,ford,f-150,,8 cylinders,gas,63425.0,clean,automatic,rwd,pickup,red
60,salt lake city,28895,2016.0,ram,1500,,8 cylinders,gas,19086.0,clean,automatic,4wd,truck,red
61,salt lake city,105500,2017.0,mercedes-benz,sprinter 2500 4x4,excellent,6 cylinders,diesel,35000.0,clean,other,4wd,van,blue
62,salt lake city,54997,2010.0,mercedes-benz,g-class,excellent,8 cylinders,gas,75000.0,clean,automatic,4wd,SUV,black
63,salt lake city,29999,2012.0,mercedes-benz,cls-class,excellent,8 cylinders,gas,83000.0,clean,automatic,rwd,sedan,black
64,st george,14795,2008.0,lexus,gx,,8 cylinders,gas,164666.0,clean,automatic,4wd,SUV,white
65,salt lake city,36995,2014.0,ford,f-150,,8 cylinders,gas,93452.0,clean,automatic,4wd,pickup,black
66,salt lake city,8950,2014.0,chrysler,300,,6 cylinders,gas,58677.0,rebuilt,automatic,rwd,sedan,grey
67,salt lake city,16500,2006.0,toyota,tacoma xrunner,excellent,,gas,,clean,manual,rwd,,red
68,salt lake city,36995,2015.0,gmc,sierra 2500hd,,8 cylinders,,67425.0,clean,automatic,4wd,pickup,white
69,salt lake city,24700,2010.0,ram,diesel cummins 3500,excellent,6 cylinders,diesel,262000.0,clean,automatic,4wd,truck,silver
70,salt lake city,14900,2010.0,toyota,4runner,,6 cylinders,gas,78728.0,clean,automatic,rwd,SUV,
71,salt lake city,34876,2011.0,cadillac,cts-v,,8 cylinders,gas,48289.0,clean,automatic,rwd,coupe,
72,salt lake city,12495,2019.0,nissan,altima,,4 cylinders,gas,11092.0,clean,automatic,fwd,sedan,black
73,salt lake city,32975,2016.0,jeep,wrangler,,6 cylinders,gas,28282.0,clean,manual,4wd,SUV,
74,salt lake city,6495,2018.0,ford,focus,,4 cylinders,gas,24469.0,clean,automatic,fwd,sedan,white
75,salt lake city,31221,2016.0,mercedes-benz,e-class,,6 cylinders,gas,14222.0,clean,automatic,4wd,sedan,
76,salt lake city,19499,2008.0,jeep,wrangler,,6 cylinders,gas,60004.0,clean,manual,4wd,SUV,
77,salt lake city,0,2014.0,chevrolet,cruze,,4 cylinders,gas,68908.0,clean,automatic,fwd,sedan,
78,salt lake city,13976,2011.0,toyota,tacoma,,4 cylinders,gas,93157.0,clean,manual,rwd,truck,
79,salt lake city,5495,2016.0,mitsubishi,outlander sport,,4 cylinders,gas,55149.0,salvage,automatic,fwd,SUV,grey
80,salt lake city,8499,2005.0,volkswagen,beetle,,4 cylinders,gas,43524.0,clean,automatic,fwd,hatchback,
81,salt lake city,21999,2004.0,mercedes-benz,sl-class,excellent,8 cylinders,gas,55000.0,clean,automatic,rwd,convertible,black
82,salt lake city,37995,,,olet Silverado 1500,,6 cylinders,,15252.0,clean,automatic,4wd,pickup,black
83,lynchburg,0,2016.0,buick,encore,,4 cylinders,gas,36959.0,clean,automatic,4wd,SUV,custom
84,salt lake city,7495,2017.0,nissan,sentra,,4 cylinders,gas,70109.0,clean,automatic,fwd,sedan,white
85,salt lake city,26950,2019.0,nissan,armada,,8 cylinders,gas,8871.0,clean,automatic,4wd,SUV,black
86,salt lake city,6995,2010.0,chevrolet,traverse,,6 cylinders,gas,115266.0,clean,automatic,4wd,SUV,black
87,salt lake city,7995,2014.0,toyota,corolla,,4 cylinders,gas,69260.0,clean,automatic,fwd,sedan,silver
88,salt lake city,2250,2004.0,toyota,celica,,4 cylinders,gas,113248.0,salvage,automatic,fwd,hatchback,silver
89,salt lake city,59995,,,ierra 1500,,8 cylinders,,6815.0,clean,automatic,4wd,pickup,black
90,salt lake city,2800,2006.0,acura,tsx,,4 cylinders,gas,104421.0,salvage,automatic,fwd,sedan,silver
91,salt lake city,5495,2015.0,nissan,frontier,,4 cylinders,gas,75506.0,clean,automatic,rwd,pickup,white
92,salt lake city,8995,2019.0,nissan,sentra,,4 cylinders,gas,19558.0,clean,automatic,fwd,sedan,blue
93,salt lake city,7995,2019.0,mitsubishi,eclipse cross,,4 cylinders,gas,8161.0,salvage,automatic,4wd,SUV,white
94,salt lake city,3250,2017.0,ford,focus,,4 cylinders,gas,31336.0,clean,automatic,fwd,sedan,grey
95,salt lake city,16476,2004.0,chevrolet,corvette,,8 cylinders,gas,46153.0,clean,automatic,rwd,convertible,
96,salt lake city,6800,2004.0,nissan,350z,,6 cylinders,gas,21274.0,salvage,manual,rwd,convertible,silver
97,salt lake city,14800,2019.0,chevrolet,equinox,,4 cylinders,gas,10868.0,clean,automatic,4wd,SUV,black
98,salt lake city,8995,2019.0,chevrolet,express 3500,,8 cylinders,gas,7974.0,salvage,automatic,rwd,van,white
99,salt lake city,6995,2017.0,dodge,charger,,6 cylinders,gas,35370.0,salvage,automatic,4wd,sedan,black
100,salt lake city,13495,2014.0,ford,f-150,,6 cylinders,gas,69614.0,salvage,automatic,4wd,pickup,red
101,lynchburg,0,2016.0,kia,k900,,6 cylinders,gas,18949.0,clean,automatic,rwd,sedan,white
102,salt lake city,5995,2018.0,kia,forte,,4 cylinders,gas,34238.0,clean,automatic,fwd,sedan,brown
103,salt lake city,6995,2017.0,nissan,sentra,,4 cylinders,gas,46578.0,clean,automatic,fwd,sedan,red
