,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
0,0.75,0.45912676056338025,0.6666666666666714,0.9722222222222222,0.5175541252194266,0.6000000000000001,0.2857142857142857,0.5,0.2724152724152724,1.0,0.5,1.0,0.08333333333333333,0.0
1,0.75,0.3492676056338028,0.5416666666666714,0.8333333333333333,0.4142773551784669,0.6000000000000001,0.5714285714285714,0.5,0.515045045045045,1.0,1.0,1.0,0.49999999999999994,0.8181818181818182
2,0.75,0.9267605633802817,0.875,0.2777777777777778,0.42715038033937974,0.6000000000000001,0.5714285714285714,0.0,0.40962676962676964,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
3,0.75,0.36338028169014086,0.4583333333333428,0.3055555555555555,0.78847279110591,0.6000000000000001,0.5714285714285714,0.5,0.3832689832689833,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
4,0.75,0.3070422535211268,0.7083333333333428,0.2777777777777778,0.422469280280866,0.6000000000000001,0.5714285714285714,0.5,0.9696739596739596,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
5,0.75,0.9267605633802817,0.6666666666666714,0.8333333333333333,0.4142773551784669,0.6000000000000001,0.5714285714285714,0.0,0.5497769197769198,1.0,1.0,1.0,0.49999999999999994,0.8181818181818182
6,0.75,0.4197183098591549,0.7083333333333428,0.3055555555555555,0.9915155061439438,0.6000000000000001,0.5714285714285714,1.0,0.6708923208923209,1.0,1.0,1.0,0.5833333333333333,0.8181818181818182
7,0.75,0.36338028169014086,0.4583333333333428,0.9444444444444444,0.9274429490930369,0.6000000000000001,0.5714285714285714,0.5,0.5803818103818104,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
8,0.75,0.7436338028169014,0.7916666666666714,0.3055555555555555,0.78847279110591,0.6000000000000001,0.5714285714285714,0.5,0.3157957957957958,1.0,1.0,1.0,0.49999999999999994,0.18181818181818182
9,0.75,0.6591267605633803,0.75,0.8333333333333333,0.03393797542422469,0.6000000000000001,0.5714285714285714,0.0,0.6784899184899185,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
10,0.75,0.9549295774647887,0.7916666666666714,0.3055555555555555,0.78847279110591,0.6000000000000001,0.5714285714285714,0.0,0.5470398970398971,1.0,1.0,1.0,0.49999999999999994,0.0
11,0.75,0.20842253521126763,0.25,0.16666666666666666,0.8054417788180223,0.6000000000000001,0.5714285714285714,0.5,0.7683311883311883,1.0,1.0,1.0,0.49999999999999994,0.9090909090909092
12,0.75,0.12391549295774648,0.2916666666666714,0.6388888888888888,0.7533645406670568,0.6000000000000001,0.5714285714285714,0.5,0.7945945945945946,1.0,1.0,1.0,0.25,0.8181818181818182
13,0.75,0.3352112676056338,0.5833333333333428,0.3055555555555555,0.78847279110591,0.6000000000000001,0.5714285714285714,0.5,0.9934362934362934,1.0,1.0,1.0,0.49999999999999994,0.8181818181818182
14,0.75,0.8533802816901408,0.5,0.4722222222222222,0.957284961966062,0.6000000000000001,0.7142857142857142,0.5,0.32175032175032175,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
15,0.75,0.22253521126760567,0.2083333333333428,0.2777777777777778,0.3946752486834406,0.4000000000000001,0.7142857142857142,0.0,0.4255040755040755,1.0,1.0,1.0,0.5833333333333333,0.4545454545454546
16,0.75,0.08450704225352113,0.5,0.3611111111111111,0.2618490345231129,0.4000000000000001,0.2857142857142857,0.5,0.4761132561132561,1.0,1.0,0.0,0.25,0.4545454545454546
17,0.75,0.8843661971830986,0.75,0.3055555555555555,0.788765359859567,0.6000000000000001,0.7142857142857142,0.5,0.40000858000858,1.0,1.0,1.0,0.49999999999999994,0.4545454545454546
18,0.75,0.7140845070422535,0.7916666666666714,0.8333333333333333,0.0713867758923347,0.6000000000000001,0.5714285714285714,0.0,0.29177606177606175,0.5,1.0,1.0,0.7499999999999999,0.9090909090909092
19,0.75,0.18873239436619718,0.8333333333333428,0.16666666666666666,0.8458162668227034,0.8,0.5714285714285714,0.25,0.12012012012012012,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
20,0.75,0.7289014084507042,0.7916666666666714,0.5555555555555556,0.746050321825629,0.6000000000000001,0.5714285714285714,0.5,0.17694122694122694,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
21,0.75,0.6169014084507042,0.625,0.1388888888888889,0.38326506729081333,0.6000000000000001,0.7142857142857142,0.5,0.34686829686829684,1.0,1.0,1.0,0.5833333333333333,0.9090909090909092
